Type,ID,Name,Address,Category,Price,AreaCode,Dates,Description
Accommodation,136594,초콜릿,서울특별시 강서구 강서로5가길 24 null,B02010900,75000,1,N/A,N/A
Accommodation,2604657,초해고택[한국관광 품질인증/Korea Quality],경상북도 의성군 만취당길 17-12 null,B02011600,202000,35,N/A,N/A
Accommodation,2708658,최참판댁 한옥숙박시설,경상남도 하동군 악양면 평사리길 75 null,B02011600,125000,36,N/A,N/A
Accommodation,2579510,추봉도바다펜션,경상남도 통영시 한산면 추원2길 13-20 null,Guesthouse,90000,36,N/A,N/A
Accommodation,2579526,추봉펜션,경상남도 통영시 한산면 봉암1길 205-8 null,Guesthouse,159000,36,N/A,N/A
Accommodation,139848,추억가이드펜션,충청남도 서천군 서면 춘장대로 54 null,Guesthouse,109000,34,N/A,N/A
Accommodation,2531497,추우재,경상북도 고령군 쌍림면 개실2길 20-1 null,B02011600,161000,35,N/A,N/A
Accommodation,2600182,축구 꿈나무집,경상북도 고령군 쌍림면 개실1길 35 null,B02011600,248000,35,N/A,N/A
Accommodation,1883367,축구꿈나무집,경상북도 고령군 개실1길 35 null,B02011600,239000,35,N/A,N/A
Accommodation,1998844,춘우재고택,경상북도 예천군 용문면 맛질길 101 null,B02011600,201000,35,N/A,N/A
Accommodation,142813,춘천세종호텔,강원특별자치도 춘천시 봉의산길 31 null,Hotel,198000,32,N/A,N/A
Accommodation,2826777,춘천일기스테이,강원특별자치도 춘천시 중앙로27번길 9-1 (옥천동) null,Hanok,213000,32,N/A,N/A
Accommodation,2569581,춘하원(죽헌고택),경상북도 안동시 서후면 태장죽헌길 24 (죽헌고택),B02011600,199000,35,N/A,N/A
Accommodation,2668131,춘화당,전라남도 목포시 영산로59번길 35-7 null,B02011600,198000,38,N/A,N/A
Accommodation,3044631,충장로 브라운도트호텔 충장점,광주광역시 동구 중앙로 150-8 (호남동) null,Hotel,155000,5,N/A,N/A
Accommodation,143161,충주그랜드관광호텔,충청북도 충주시 중원대로 3496 (봉방동),Hotel,234000,33,N/A,N/A
Accommodation,127963,충주자연호텔,충청북도 충주시 살미면 팔봉로 1061 null,Hotel,165000,33,N/A,N/A
Accommodation,3520495,취다선 리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2688 null,Hotel,165000,39,N/A,N/A
Accommodation,2624249,취다선리조트(취다선 리조트 Tea&Meditation),제주특별자치도 서귀포시 성산읍 해맞이해안로 2688 null,Camping,217000,39,N/A,N/A
Accommodation,2608508,취락당,전북특별자치도 전주시 완산구 동문길 33-19 (풍남동2가),B02011600,81000,37,N/A,N/A
Accommodation,1883996,취옹예술관,경기도 가평군 상면 수목원로 300 null,B02011600,114000,31,N/A,N/A
Accommodation,2000946,치암고택,경상북도 안동시 퇴계로 297-10 (안막동),B02011600,166000,35,N/A,N/A
Accommodation,2627908,칠십리호텔,제주특별자치도 서귀포시 태평로353번길 22-3 (서귀동),Camping,76000,39,N/A,N/A
Accommodation,725559,카라모텔,전라남도 여수시 무선6길 42-4 (선원동),B02010900,129000,38,N/A,N/A
Accommodation,138764,카리브콘도호텔,경상남도 통영시 도남로 257-29 (도남동) null,Motel,91000,36,N/A,N/A
Accommodation,2913615,카리스펜션,강원특별자치도 강릉시 연곡면 해안로 1279 null,Guesthouse,243000,32,N/A,N/A
Accommodation,3031581,카세로지,제주특별자치도 서귀포시 표선면 가시로 383 null,Hotel,216000,39,N/A,N/A
Accommodation,138791,카올린B&B펜션,경상남도 거제시 일운면 반송재로 562 null,Guesthouse,208000,36,N/A,N/A
Accommodation,2667643,카이 호스텔,제주특별자치도 제주시 한림읍 협재2길 10 null,Camping,154000,39,N/A,N/A
Accommodation,2405466,카이로스,제주특별자치도 제주시 애월읍 장유길 49-43 null,Guesthouse,95000,39,N/A,N/A
Accommodation,2582686,카이저,전라남도 목포시 하당남부로51번길 27 (상동),B02010900,211000,38,N/A,N/A
Accommodation,3075925,카인드호텔,경기도 성남시 분당구 서현동 261-3 카인드호텔 null,Hotel,89000,31,N/A,N/A
Accommodation,143069,칼튼호텔,서울특별시 강서구 화곡로 354-10 (화곡동),Hotel,63000,1,N/A,N/A
Accommodation,3101946,캉프맨숀,서울특별시 마포구 동교로23길 32 (동교동) 401호,Camping,242000,,N/A,N/A
Accommodation,3536894,캐빈,강원특별자치도 강릉시 금성로61번길 13 (성남동) null,Guesthouse,242000,32,N/A,N/A
Accommodation,2570526,캐슬레이크펜션,경기도 가평군 청평면 양진길 25 null,Guesthouse,127000,31,N/A,N/A
Accommodation,2579894,통영 비지니스 관광호텔,경상남도 통영시 통영해안로 575 (무전동) null,Hotel,244000,36,N/A,N/A
Accommodation,2706030,통영 유어스게스트하우스,경상남도 통영시 데메3길 27-7 null,Camping,239000,36,N/A,N/A
Accommodation,595795,통영 퀸모텔,경상남도 통영시 통영해안로 285 null,B02010900,54000,36,N/A,N/A
Accommodation,2580018,통영갤러리호텔,경상남도 통영시 도남로 257-27 null,Hotel,230000,36,N/A,N/A
Accommodation,2580028,통영거북선호텔,경상남도 통영시 미수해안로 72 (미수동),Hotel,92000,36,N/A,N/A
Accommodation,2580039,통영관광호텔,경상남도 통영시 항북길 12-9 null,Hotel,136000,36,N/A,N/A
Accommodation,2580047,통영국치농어촌체험휴양마을,경상남도 통영시 천대국치길 207 null,Hanok,188000,36,N/A,N/A
Accommodation,2697898,통영그란데호스텔,경상남도 통영시 진남아랫길 10 (미수동),Camping,221000,36,N/A,N/A
Accommodation,2580074,통영다온펜션,경상남도 통영시 산양읍 산양일주로 353-1 null,Guesthouse,91000,36,N/A,N/A
Accommodation,2570621,통영대교게스트하우스,경상남도 통영시 진남1길 24 (미수동),Camping,182000,36,N/A,N/A
Accommodation,2576517,통영더스토리 게스트하우스,경상남도 통영시 도남로 175-27 (도남동),Camping,72000,36,N/A,N/A
Accommodation,2580290,통영비치캐슬호텔,경상남도 통영시 평인일주로 486-1 (평림동),Hotel,172000,36,N/A,N/A
Accommodation,594392,통영스테이,경상남도 통영시 산양읍 산양일주로 1050 null,B02010900,51000,36,N/A,N/A
Accommodation,2017731,통영여행게스트펜션,경상남도 통영시 산양읍 수륙길 6 null,Guesthouse,59000,36,N/A,N/A
Accommodation,2580426,통영의 봄 펜션,경상남도 통영시 국치1길 11 null,Guesthouse,68000,36,N/A,N/A
Accommodation,2580451,통영타워펜션,경상남도 통영시 용남면 견유1길 151 null,Guesthouse,139000,36,N/A,N/A
Accommodation,3438160,통인 1939,서울특별시 종로구 자하문로 33-7 (통인동) null,B02011600,154000,,N/A,N/A
Accommodation,2651536,투나잇호텔[한국관광 품질인증/Korea Quality],전북특별자치도 전주시 덕진구 아중4길 16 (우아동2가),Hotel,205000,37,N/A,N/A
Accommodation,3044642,투어하우스,경상남도 거제시 장승포로 127 (장승포동) null,Guesthouse,199000,,N/A,N/A
Accommodation,2907668,투와이호텔,강원특별자치도 양양군 강현면 동해대로 3277-3 null,Hotel,211000,32,N/A,N/A
Accommodation,2582840,투유무인텔,전라남도 목포시 해안로237번길 31 null,B02010900,159000,38,N/A,N/A
Accommodation,2580543,튜울립 펜션,경상남도 통영시 용남면 장평신촌1길 251-5 null,Guesthouse,246000,36,N/A,N/A
Accommodation,3532722,트래블라이트,부산광역시 부산진구 서면로68번길 52 (부전동) 7층,Camping,174000,6,N/A,N/A
Accommodation,2725087,트레블로지 동대문 호텔,서울특별시 중구 동호로 359 null,Hotel,186000,1,N/A,N/A
Accommodation,2721987,트레블로지 명동 시티홀,서울특별시 중구 세종대로16길 22 null,Hotel,94000,1,N/A,N/A
Accommodation,138964,트로피칼드림 리조트,경상남도 거제시 일운면 망양1길 16 null,Guesthouse,140000,36,N/A,N/A
Accommodation,136249,트리아 관광호텔,서울특별시 강남구 테헤란로33길 16 null,Hotel,194000,1,N/A,N/A
Accommodation,725614,트윈스모텔,전라남도 여수시 둔덕3길 12 null,B02010900,135000,38,N/A,N/A
Accommodation,2903063,파인아트라벨,강원특별자치도 강릉시 해안로 32 (견소동) null,Hotel,227000,32,N/A,N/A
Accommodation,397762,파인웰스,충청남도 태안군 안면읍 안면대로 2608-72 null,Guesthouse,239000,34,N/A,N/A
Accommodation,2913650,파인힐 애견펜션,강원특별자치도 강릉시 연곡면 동해대로 4371-27 null,Guesthouse,51000,32,N/A,N/A
Accommodation,2603894,파주 한옥마을 살림채 펜션,경기도 파주시 소라지로327번길 126-20 (송촌동),Guesthouse,185000,31,N/A,N/A
Accommodation,2418592,파주감악산펜션,경기도 파주시 적성면 청송로1066번길 29 null,Guesthouse,181000,31,N/A,N/A
Accommodation,3084393,파주메이트호텔,경기도 파주시 탄현면 엘씨디로241번길 39-35 null,Hotel,218000,31,N/A,N/A
Accommodation,1986844,파크 하얏트 부산,부산광역시 해운대구 마린시티1로 51 null,Hotel,131000,6,N/A,N/A
Accommodation,143123,파크 하얏트 서울,서울특별시 강남구 테헤란로 606 (대치동) null,Hotel,61000,1,N/A,N/A
Accommodation,2589656,파크로쉬 리조트앤웰니스 (PARK ROCHE Resort&Wellness),강원특별자치도 정선군 북평면 중봉길 9-12 null,Hotel,69000,32,N/A,N/A
Accommodation,2663186,파크마린호텔,인천광역시 남동구 소래역로 44 (논현동),Hotel,182000,2,N/A,N/A
Accommodation,3075293,파티오세븐 호텔,서울특별시 강남구 논현로 736 (논현동) 파티오세븐호텔,Hotel,117000,1,N/A,N/A
Accommodation,699206,파티즈호텔,경기도 수원시 권선구 서부로1934번길 42 null,Hotel,70000,31,N/A,N/A
Accommodation,2423961,파프리카펜션 옐로우,강원특별자치도 화천군 사내면 하오재로 100-15 null,Guesthouse,79000,32,N/A,N/A
Accommodation,2495652,팔공 에밀리아호텔,대구광역시 동구 팔공산로 1121 null,Hotel,135000,4,N/A,N/A
Accommodation,1894863,팔공산맥섬석 유스호스텔,대구광역시 동구 갓바위로 223-35 null,B02010600,64000,4,N/A,N/A
Accommodation,1162469,팔공산온천관광호텔,대구광역시 동구 팔공산로185길 11 null,Hotel,208000,4,N/A,N/A
Accommodation,3537663,팔레스모텔,강원특별자치도 강릉시 옥천로 68 (옥천동) null,B02010900,57000,32,N/A,N/A
Accommodation,2580577,팜비치리조텔,경상남도 통영시 도남로 257-45 팜비치리조텔 null,Motel,155000,36,N/A,N/A
